področje,podpodročje,id,naslov,avtor,pozicija,jezik,zbirka,država,LETO,
7,1,1,NEMŠČINA ZA POTOVANJA IN PROSTI ČAS,VUKAŠINOVIĆ-MIKUŽ MARIJA,1,0,,,,
6,1,2,TRI RAZPRAVE,SCHMITT CARL,1,0,,,,
7,1,3,ANGLEŠKO SLOVENSKI SLOVAR,JAVORŠEK MARIJA,1,0,,,,
7,1,4,SLOVAR TUJK,BUNC STAKO,1,0,,,,
7,1,4,SLOVAR TUJK,BUNC STAKO,1,0,,,,
7,3,5,MALI SLOVENSKI PRAVOPIS,BUNC STAKO,1,0,,,,
7,2,6,SLOVENSKA SLOVNICA,TOPORIŠIČ JOŽE,1,0,,,,
7,1,7,ANGLEŠČINA ZA POTOVANJA IN PROSTI ČAS,BERCE SONJA,1,0,,,,
7,1,8,ANGLEŠKO SLOVENSKI SLOVAR,GRAD ANTON,1,0,,,,
7,1,9,SLOVENSKO ANGLEŠKI SLOVAR,GRAD ANTON,1,0,,,,
7,1,9,SLOVENSKO ANGLEŠKI SLOVAR,GRAD ANTON,1,0,,,,
7,2,11,FUNDAMENTA LATINA I,ŠAŠEL ANA,1,0,,,,
7,1,12,POLITEHNIČKI REČNIK,VEČ,1,2,,,,
7,1,13,ŠOLSKI SLOVAR FRANCOŠČINE,VEČ,1,0,,,,
7,2,14,NEMŠKA SLOVNICA PO NAŠE,MUSTER ČENČRU NANIKA,1,0,,,,
7,1,15,POCKET DICTIONARY OF BUSINESS GERMAN,SHAW GISELA,1,1,,,,
7,1,16,FRANCOSKO SLOVENSKI MODERNI SLOVAR,GRAD ANTON,1,0,,,,
7,1,17,NEMŠKO SLOVENSKI MODERNI SLOVAR,DEBENJAK DORIS,1,0,,,,
7,1,18,FRANCOSKO SLOVENSKI MODERNI SLOVAR,GRAD ANTON,1,0,,,,
7,1,19,SLOVENSKO HRVAŠKI SLOVAR,JURANIČIČ JANKO,1,0,,,,
7,1,20,ANGLEŠKO SLOVENSKI SLOVAR,KOMAC,1,0,,,,
7,1,21,DICTIONNAIRE DES SYNONYMES,BAR ELVIRE,1,3,,,,
7,1,22,DICTIONNAIRE ETYMOLOGIQUE ET HISTORIQUE DU FRANCAIS,DUBOIS,1,3,,,,
7,1,23,OXFORD ADVANCED LEARNER'S DICTIONARY,COWIE,1,1,,,,
7,1,24,ANGLEŠKO SLOVENSKI SLIKOVNI SLOVAR,VEČ,1,0,,,,
0,2,25,ATLAS SLOVENIJE,VEČ,1,0,,,,
7,3,26,SLOVENSKI PRAVOPIS,RAMOVŠ  ŽUPANČIČ ,0,1,,,1950,
7,2,27,ENGLISH RAMMAR IN USE,MURPHY RAYMOND,1,0,,,,
7,1,28,VELIKI ANGLEŠKO SLOVENSKI SLOVAR,GRAD ŠKERLJ VITOROVIČ,1,0,,,,
0,1,29,ENCIKLOPEDIJA TEHNIKE,VEČ,1,0,,,,
6,7,30,LJUDSTVA SVETA 4,VEČ,1,0,LJUDSTVA SVETA,,,
6,7,30,LJUDSTVA SVETA 3,VEČ,1,0,LJUDSTVA SVETA,,,
0,1,32,MALA SPLOŠNA ENCIKLOPEDIJA A-G,VEČ,1,0,MALA SPLOŠNA ENCIKLOPEDIJA,,,
0,1,32,MALA SPLOŠNA ENCIKLOPEDIJA H-O,VEČ,1,0,MALA SPLOŠNA ENCIKLOPEDIJA,,,
0,1,32,MALA SPLOŠNA ENCIKLOPEDIJA P-Ž,VEČ,1,0,MALA SPLOŠNA ENCIKLOPEDIJA,,,
6,6,35,SVETOVNA ZGODOVINA,VEČ,1,0,SVETOVNA,,,
9,5,36,POMOČ IZ DOMAČE LEKARNE,AŠIČ SIMON,1,0,POMOČ IZ,,,
9,2,37,PLEZALKE IN STENSKE RASTLINE,HELLYER ARTHUR,1,0,MOJE VRTNE RASTLINE,,,
9,2,38,DIŠEČE CVETNICE,BONAR ANN,1,0,MOJE VRTNE RASTLINE,,,
9,2,39,VRT IN LETNI ČASI,GOLOB IZIDOR,1,0,,,,
9,2,40,NARAVNO IN VARČNO VRTNARJENE,STAFFLER MARTIN,1,0,,,,
9,2,41,MOJ EKOVRT,PUŠENJAK MIŠA,1,0,,,,
9,2,42,REZ SADNIH RASTLIN,ŠTAMPAR FRANCI,1,0,,,,
9,2,43,ZELENJAVNI VRT,SEDDON RADECKA,1,0,,,,
9,2,44,VRTNARSKI PRIPOČNIK,KRALJEVO HORTIKULTURNO ZDRUŽENJE,1,0,,,,
9,2,45,POPOLN ZELENJAVNI VRT,BRADLEY COURTIER,1,0,,,,
9,2,46,OBREZOVANJE RASTLIN,HAAS HANSJORG,1,0,,,,
9,2,47,V SADNEM VRTU,VEČ,1,0,,,,
9,2,48,MOJ VRT MOJE VESELJE VINOGRADNIŠTVO,COLNARIČ VRABL,1,0,,,,
9,2,49,VODNIK PO VRTU ,PUŠENJAK MIŠA,1,0,,,,
9,4,50,NAREDIMO SAMI,MCGOWAN DUBERN,1,0,,,,
9,4,51,USTVARJALNO OPREMLJANJE OKEN,VEČ,1,0,,,,
9,4,52,VELIKA KNJIGA O UREJANJU STANOVANJA,BRAUER SIGRID,1,0,,,,
9,1,53,SLIKANJE NA STEKLO ,VEČ,1,0,PREPOROSTE TEHNIKE,,,
9,1,54,SLIKANJE NA KERAMIKO,VEČ,1,0,PREPOROSTE TEHNIKE,,,
9,1,55,KVAČKANJE,FAJFAR METKA,1,0,,,,
9,5,56,MASAŽA,MASWELL HUDSON CLARE,1,0,,,,
9,5,57,ABC MASAŽE,VEČ,1,0,ABC,,,
9,1,58,MOSAICS,VEČ,1,1,,,,
9,1,59,ABC ŠIVANJA,BREE ALMUT,1,0,ABC,,,
9,1,60,TO ZMOREM TUDI JAZ,KADUNC LIPAR GENIJA,1,0,,,,
9,1,61,ABC PLETENJA,NATTER MARIA,1,0,ABC,,,
9,5,62,ŽIVETI MODRO SPROSTITVE MEDITACIJE,STERLE MARKO,1,0,,,,
9,4,63,FENG ŠUJ,VEČ,1,0,,,,
9,4,64,DELAJMO Z LESOM ,VEČ,1,0,,,,
9,4,65,MODERNIZIRAJMO STARO HIŠO,GORES HANS,1,0,,,,
0,3,66,ROBERT FISCHER,PASTERNJAK ALEKSANDER,1,0,,,,
1,6,67,VOJNI DNEVNIK FILIPA JURKOVIČA,FILIP JURKOVIČA,1,0,,,,
9,3,68,RECEPTI ZA BIO HRANO,OMAHEN MARIJA,1,0,,,,
9,3,69,DR. OETKER,VEČ,1,0,,,,
9,3,70,SLOVENSKA KUHARICA,KALINŠEK FELICITA,1,0,,,1963,
9,3,71,KUHINJA SLOVENIJE,ADAMLJE BOGATAJ,1,0,,,,
9,3,72,PREFFINJENE SLADICE,VEČ,1,0,,,,
9,3,73,KUHARICA S. F. KALINŠEK,VANDELINA ILC,1,0,,,,
9,3,74,KUHARICA S. F. KALINŠEK,MOTOH ŠILC ŠUŠTERŠIČ,1,0,,,1971,
9,3,75,JUHE IN ENOLONČNICE,WOLTER ANNETTE,1,0,,,,
9,3,76,HUJŠANJE Z UŽITKOM,FOURRIER MIGNONAC,1,0,,,,
9,3,77,KUHINJA ZA KRIZNE ČASE SLANE JEDI,VEFHOVAR DARINKA,1,0,,,,
9,3,78,KNJIŽICA RECEPTOV 1,VEČ,1,0,KROŽNIK OKUSOV,,,
9,3,79,KNJIŽICA RECEPTOV 2,VEČ,1,0,KROŽNIK OKUSOV,,,
9,5,80,TELOVADBA ZA VSAK DAN,DORING ILSE,1,0,,,,
8,5,81,STROJI,VEČ,1,0,,,,
6,6,82,ZGODOVINA SLOVENCEV,VEČ,1,0,,,,
7,4,83,PREGLED SLOVENSKEGA SLOVSTVA,KOS JANKO,1,0,,,,
7,5,84,MALA LITERARNA TEORIJA,KMELC MATJAŽ,1,0,,,,
6,6,85,ZGODOVINA 3,GROBELNIK VOJE,1,0,,,,
8,6,86,ŽIVALI,VEČ,1,0,,,,
0,1,87,VSEVEDNIK,DRAGO BAJT,1,0,,,,
8,7,88,USPEŠNEJE REŠEVATI PROBLEME,JAUŠOVEC NORBERT,1,0,,,,
8,1,89,KOMBINATORIKA,ČIBEJ JOŽE ANDREJ,1,0,MATEMATIKA,,,
8,1,90,VERJETNOSTNI RAČUN IN STATISTIKA,ČIBEJ JOŽE ANDREJ,1,0,MATEMATIKA,,,
8,2,91,FIZIKA NALOGE,KREGAR ALEKSANDER,1,0,,,,
8,1,92,UVOD V STATISTIKO,BLEJEC MARIJAN,1,0,,,,
8,1,93,STATISTIKA I: OBRAZCI IN POSTOPKI,ARH FRANC,1,0,,,,
7,4,94,KNJIŽEVNOST: PRIROČNIK Z VAJAMI,HONZAK MOJCA,1,0,,,,
7,4,95,KNJIŽEVNOST: PRIROČNIK Z VAJAMI - REŠITVE,HONZAK MOJCA,1,0,,,,
8,6,96,RAZUMETI MICROSOFT.NET,DEPETRILLO BART,1,0,,,,
8,1,97,MATEMATIKA: OD ZLATEGA REZA DO TEORIJE MNOŽIC,ADLER IRVING,1,0,,,,
8,1,98,MATEMATIKA=ZABAVA 1,PERŠKE KLEPIĆ,1,0,MATEMATIKA=ZABAVA,,,
8,1,98,MATEMATIKA=ZABAVA 2,PERŠKE KLEPIĆ,1,0,MATEMATIKA=ZABAVA,,,
8,1,100,MATEMATIČNI PRIROČNIK ZA SREDNJE ŠOLE,VEČ,1,0,,,,
0,2,101,WEBSTER'S CONCISE WORLD ATLAS AND ALMANAC,VEČ,1,1,,,,
0,2,102,ATLAS,VEČ,1,0,,,,
6,9,103,ENCIKLOPEDIJA ASTROLOGIJE,AUBIER CATHERINE,1,0,,,,
8,2,104,KAOS,GLEICK JAMES,1,0,,,,
7,4,105,SVETOVNA KNJIŽEVNOST I,KOS JANKO,1,0,,,,
7,4,106,SVETOVNA KNJIŽEVNOST II,KOS JANKO,1,0,,,,
6,2,107,JA SAM OK TI SI OK,HARRIS THOMAS,1,2,,,,
0,3,108,VELIKA KNJIGA IGER,GOOCK RONALD,1,0,,,,
6,9,109,SVETO PISMO ZA NAJMLAJŠE,VEČ,1,0,,,,
6,9,110,SVETO PISMO,VEČ,1,0,,,,
6,5,111,LIKOVNA PRIČEVANJA IN RAZMIŠLJANJA O KULTURI 2,LIPOVEC DUŠAN,1,0,LIKOVNA PRIČEVANJA,,,
6,6,112,OBRAZI MORJA,ZEI MIROSLAV,1,0,,,,
6,1,113,ZA KAKŠEN SVET VZGAJAMO NAŠEGA OTROKA,STRITIH ČAČINOVIČ,1,0,,,,
6,2,114,PSIHOLOGIJA DRUŽINE,GABI ĆAČINOVIČ,1,0,,,,
6,1,115,ŽENSKE IN DISKRIMINACIJA,VEČ,1,0,,,,
6,2,116,NEMIRNI UČENEC,KOS-MIKUŠ SVETINA,1,0,,,,
6,2,117,PREMAGOVANJE DEPRESIJE,GILLETT RICHARD,1,0,,,,
6,8,118,PRLEKIJA,AMBROŽ CIRIL,1,0,,,,
0,0,119,KAMNIŠKI ZBORNIK 1998,HUMAR MARJETA,1,0,,,,
0,0,120,KAMNIŠKI ZBORNIK 2002,HUMAR MARJETA,1,0,,,,
6,1,121,SOCIOLOGIJA SHEMATSKI PREGLEDI,VEČ,1,0,,,,
6,2,122,PSIHOLOGIJA SHEMATSKI PREGLEDI,HILL GRAHAME,1,0,,,,
6,5,123,DUŠAN LIPOVEC - SLIKARSKI PESNIK NARAVE,DUŠAN LIPOVEC,1,0,,,,
6,5,124,LIKOVNA PRIČEVANJA IN RAZMIŠLJANJA O KULTURI 1,DUŠAN LIPOVEC,1,0,LIKOVNA PRIČEVANJA,,,
6,5,125,IMPRESIJE SLOVENSKE POKRAJINE,DUŠAN LIPOVEC,1,0,,,,
6,9,126,LEV,PARKER,1,0,NEBESNA ZNAMENJA,,,
6,9,127,SANJE,VEČ,1,0,,,,
6,1,128,DELAVNICE OD BLIZU,VEČ,1,0,,,,
6,1,129,SLOVAR SOCIALNO ALKOHOLOŠKEGA IZRAZJA,RAMOVŠ,1,0,,,,
1,3,130,PRI NAS JE VSE V REDU,MOŠKRIČ MARJAN,1,0,,,,
1,7,131,DOKTOR ŽIVIH IN MRTVIH,PEČJAK VID,1,0,,,,
1,6,132,GRAD KRALJA MATJAŽA,STANIČ JANEZ,1,0,PREŠERNOVA DRUŽBA,,,
1,0,133,ČAS ZA ROPARICE,ŠKRINJAR POLONA,1,0,PREŠERNOVA DRUŽBA,,,
1,0,134,PESNIK IN POLICISTKA,KAVČIČ VLADIMIR,1,0,PREŠERNOVA DRUŽBA,,,
6,8,135,STO NARAVNIH ZNAMENITOSTI SLOVENIJE,SKOBERNE PETER,1,0,PREŠERNOVA DRUŽBA,,,
6,5,132,STO NAJLEPŠIH KMEČKIH HIŠ NA SLOVENSKEM,SEDEJ IVAN,1,0,PREŠERNOVA DRUŽBA,,,
1,0,137,KAVE,STOPAR PETER ,1,0,1,PREŠERNOVA DRUŽBA,,
5,1,138,STIHI MOJIH DNI,MENART JANEZ,1,0,,,,
2,0,139,SEVERNA DEŽELA,TUURI ANTTI,1,0,,,,
2,0,140,NAROBE CIRKUS,MAGNANI MILENA,1,0,,,,
1,0,141,SAMOGOVORNIKI,LOKAR DANILO,1,0,,,,
2,0,142,I' M NOT SCARED,AMMANITI NICCOLO,1,1,,ITALIJA,,
2,0,143,SEMENJ,POLIQUIN DANIEL,1,0,,,,
5,1,144,ANTOLOGIJA SLOVENSKIH PESNIC,VEČ,1,0,,,,
5,1,145,ANTON AŠKERC IZBRANO DELO,AŠKERC ANTON,1,0,,,,
5,1,146,POEZIJE,PREŠEREN FRANCE,1,0,,,,
5,1,147,POEZIJE,PREŠEREN FRANCE,1,0,,,,
2,0,148,KJE JE TVOJ BRAT ABEL,SIMMEL MARIO JOHANNES,1,0,,,,
5,1,149,PRISLUŠKUJEM TIŠINI V SEBI,MINATTI IVAN,1,0,,,,
5,2,150,O LJUBEZNI,VEČ,1,0,,,,
5,2,151,LIRIKA ,WHITMAN WALT,1,0,,AMERIKA,,
5,1,152,PARADA,KLEČ MILAN,1,0,,,,
5,1,153,NAMESTO KOGA…SONČEK JE…,PREDIN KRESLIN,1,0,,,,
5,1,154,ZLATA PRAVILA ŽIVLJENJA,LENARDIČ DARJA,1,0,,,,
5,1,155,MOJA PESEM,DESTOVNIK KAJUH KAREL,1,0,,,,
5,2,156,IZBOR LORCA,LORCA GARCIA FEDERICO,1,2,,,,
5,2,157,CANTE JONDO,LORCA GARCIA FEDERICO,1,0,,ŠPANIJA,,
5,1,158,NAČIN VEZAVE PESMI,VIDMAR MAJA,1,0,,,,
5,2,159,ZBORNIK LITERATURA,VEČ,1,0,,AMERKA,,
5,1,160,KADAR LJUBIMO,MAURER NEŽA,1,0,,,,
5,1,161,MASKE,ŠALAMUN TOMAŽ,1,0,,,,
5,1,162,BARVE BESED,LIPOVEC DUŠAN,1,0,,,,
5,1,163,KRIZANTEMA NA KLAVIRJU,MAKAROVIČ SVETLANA,1,0,,,,
5,1,164,MAJNICE,PAVČEK TONE,1,0,,,,
5,1,165,GRAFITI,VEČ,1,0,,,,
5,1,166,MOJI MAMICI,VEČ,1,0,,,,
4,2,167,TARTUFFE,MOLIERE ,1,0,,FRANCIJA,,
4,2,168,ANTIGONA,SOFOKLES,1,0,,GRČIJA,,
5,1,169,POEZIJE SIMONA GREGORČIČA,GREGORČIČ SIMON,1,0,,,,
5,1,170,SOOČENJE,ŠTANCAR MONOS MARJAN,1,0,,,,
5,2,171,LOVE, A KEEPSAKE,EXLEY HELEN,1,1,,,
5,1,172,SLOVENSKE LJUDSKE PESMI,VEČ,1,0,,,,
2,0,173,PREROK,GIBRAN KAHLIL,1,0,,,,
5,1,174,LJUBEZEN V SLOVENSKI NARODNI PESMI,VEČ,1,0,,,,
6,5,175,LIKOVNA UMETNOST,VEČ,1,0,,,,
1,5,176,FRAN LEVSTIK,KMECL MATJAŽ,1,0,,,,
2,4,177,ŠOJINO POLETJE ,TREVOR ELLESTON,1,0,,,,
6,6,178,NAŠ KRAJ V ČASU, KI JE MINIL - PRESERJE,SLEVEC MARIJAN,1,0,,,
5,2,179,OSTALA SAM SAMA,JELČIČ JASMINA,1,2,,HRVAŠKA,,
5,1,180,SVETA SI ZEMLJA,VEČ,1,0,,,,
5,1,181,HAIKU,GROŠELJ EMA LEILA,1,0,,,,
5,2,182,MAKEDONSKA POEZIJA,VEČ,1,0,,MAKEDONIJA,,
5,1,183,ZMEROM SVOJO GONI SLAVČEK,PREŠEREN FRANCE,1,0,,,,
2,3,184,HUDIČEV SLOVARČEK,VEČ,1,0,,,,
5,1,185,PESMI,JENKO SIMON,1,0,,,,
5,1,186,IZBRANE PESMI ,ŽUPANČIČ OTON,1,0,,,,
2,0,187,V SOBOTO ZVEČER IN V NEDELJO ZJUTRAJ,SILLITOE ALAN,1,0,,,,
5,1,188,TEMPORA MUTANTUR 1,VEČ,1,0,,,,
5,1,188,TEMPORA MUTANTUR 2,VEČ,1,0,,,,
5,1,190,PESMI,KETTE DRAGOTIN,1,0,,,,
6,6,191,BALKAN,MAZOWER MARK,3,0,,,,
6,6,192,NACIONALIZEM IN NASILJE,ADRIANO CINGOLANI,3,0,,,,
6,10,193,A THAORY OF NONVIOLENT ACTION,VINTHAGEN STELLAN,3,1,,,,
6,10,194,THE ECONOCRACY,EARLE JO,3,1,,,,
6,10,195,A GIFT OF LOVE,LUTHER KING MARTIN,3,1,,,,
6,6,196,EVROCENTRIZEM,AMIN SAMIR,3,0,,,,
6,1,197,POLICIJA, DEMONSTRACIJE, OBLAST,ČELIK PAVLE,,,,
6,10,198,SVOBODA ALI SUŽENJSTVO?,ORWELL GEORGE,3,0,,,,
6,10,199,ISTRUZIONI PER DIVENTARE FASCISTI,MURGIA MICHELA,3,4,,,,
8,3,200,SOCIALISTIČNI GOSPODARSKI SISTEM IN NJEGOVE PREDNOSTI PRED KAPITALISTIČNIM SISTEMOM,OSTROVITJANOV,3,0,,,,
6,6,201,ZGODOVINA ZA POKLICNE ŠOLE,TITL JULIJ,3,0,,,,
6,10,202,ANARHIZEM: ONKRAJ OBSTOJEČEGA,ČKZ,3,0,ČKZ,,,
6,10,203,REVOLUCIJA,BRAND RUSSELL,3,0,,,,
2,8,204,RAKOV POVRATNIK,MILLER HENRY,3,0,VRHUNCI STOLETJA,,,
9,5,205,ŠČEPEC VEDENJA,VEČ,3,0,,,,
5,1,206,ANALOGIJE SVETLOBE,ŠALAMUN TOMAŽ,3,0,,,,
6,6,207,THE DEATH OF YUGOSLAVIA,SILBER LITTLE,3,1,,,,
6,10,208,CRACK CAPITALISM,HOLLOWAY JOHN,3,1,,,,
6,10,209,OCCUPY,CHOMSKY NOAM,3,1,,,,
6,1,210,HRUP Z METELKOVE,BIBIČ BRATKO,3,0,ČKZ,,,
6,10,211,SLOVNICA MNOŠTVA,VIRNO PAOLO,3,0,,,,
6,10,212,DRUŽBO JE TREBA BRANITI,FOUCAULT MICHEL,3,0,,,,
6,6,213,THE DEMOCRACY PROJECT,GRAEBER DAVID,3,1,,,,
6,10,214,NESIMO JIH VUN! - PREMISLEKI VSTAJNIŠTVA,ČKZ,3,0,ČKZ,,,
6,10,215,EQUILIBRI 2/2004,VEČ,3,4,,,,
6,10,216,SCENES FROM OCCUPIED AMERICA,OCCUPY,3,1,,,,
6,7,217,PISATI ANTROPOLOGIJO,STRATHERN MARILYN,3,0,,,,
6,6,218,RIMSKO CESARSTVO,LAURENCE RAY,3,0,,,,
6,10,219,NEUSTRAŠNI GOVOR,FOUCAULT MICHEL,3,0,,,,
6,3,220,LENIN IZBRANO DELO,LENIN VLADIMIR ILIČ,3,0,,,,
6,6,221,ZGODOVINA MEDNARODNIH ODNOSOV,BENKO VLADIMIR,3,0,,,,
6,10,222,ANTOLOGIJA ANARHIZMA 3,VODOVNIK ŽIGA,3,0,,,,
6,7,223,FRAGMENTI ANARHISTIČNE ANTROPOLOGIJE,GRAEBER DAVID,3,0,,,,
6,10,224,BIOPOLITIKA,KURNIK ANDREJ,3,0,,,,
6,10,225,KRALJU ODSEKATI GLAVO,DOLAR MLADEN,3,0,,,,
7,1,226,VEČJEZIČNI POSLOVNI PRIROČNIK,VEČ,3,0,,,,
7,1,227,POCKET DICTIONARY OF BUSINESS ITALIAN,VEČ,3,1,,,,
7,1,228,ITALJANŠČINA ZA POTOVANJA IN PROSTI ČAS,BERCE SONJA,3,0,,,,
2,0,229,ŽENSKE, KI TEČEJO Z VOLKOVI,PINKOLA ESTES CLARISSA,?,,,,
2,11,230,BOBRI,JALEN JANEZ,?,0,,,,
6,5,231,NAPISATI SCENARIJ,CHION MICHEL,4,0,,,,
6,9,232,IZVOR RELIGIJE,HAINCHELIN,4,0,,,,
7,4,233,BESEDNA UMETNOST,TRDINA SILVA,4,0,,,,
5,2,234,SURREALIST POETRY IN ENGLISH,GERMAIN EDWARD,4,1,,,,
7,4,235,ALBUM SLOVENSKIH KNJIŽEVNIKOV,ŠLEBINGER JANKO,4,0,,,,
7,2,236,SLOVENSKI JEZIK II,VEČ,4,0,,,,
6,4,237,ALI SREDIŠČE DRŽI?: UVOD V ZAHODNO FILOZOFIJO,PALMER DONALD,4,0,,,,
8,1,238,VIŠJA MATEMATIKA I,VIDAV IVAN,4,0,,,,
8,1,239,LOGARITMI IN DRUGE TABELE,URŠIČ STANKO,4,0,,,,
8,6,240,UVOD U MIKROPROCESORE,GRUNDLER DARKO,4,2,,,,
8,6,241,RAČUNALNIŠKI IZZIV,EVANS CHRISTOPHER,4,0,,,,
8,2,242,FIZIKA PRVI DEL MEHANIKA IN TOPLOTA,STRNAD JANEZ,4,0,,,,
8,5,243,RADIOTEHNIKA IN ELEKTRONIKA,ŠILER SVETISLAV,4,0,,,,
8,4,244,PERIODNI SISTEM,PARSONS DIXON,4,0,,,,
6,2,245,MOČ MOŽGANOV,BAMBECK WOLTERS,4,0,,,,
8,3,246,ANATOMIJA ČLOVEKA,VEČ,4,0,,,,
6,2,247,KNJIGA O MOŽGANIH,RUSSELL PETER,4,0,,,,
9,5,248,UČIM SE JOGE,LYSEBETH ANDRE,4,0,,,,
9,1,249,SUPER KROJENJE,MALALAN ANA,4,0,,,,
8,3,250,VELIKI ATLAS ANATOMIJE,SCHULER WALDMANN,4,0,,,,
0,0,251,LETOPIS GIMVIČ 2017,VEČ,4,0,,,,
0,0,252,PRIROČNIK: PREDPISI O VARNOSTI CESTNEGA PROMETA,AMZS,4,0,,,,
0,0,253,TESTI ZA VAJO IZ PROMETNIH PREDPISOV,AMZS,4,0,,,,
0,0,254,ZBIRKA MATURITETNIH NALOG 1995 IN 1996,URŠIČ METKA,4,0,,,,
2,3,255,MURPHYJEV ZAKON,BLOCH ARTHUR,4,0,,,,
2,5,256,PIAF,SIMONE BERTEAUT,4,1,,,,
2,5,257,FEMMES D'EXCEPTION,REBOUL SYLVIE,4,3,,,,
6,7,258,L'HOMME ET SON BIEN-ETRE,VEČ,4,3,,,,
7,4,259,COLLECTION LITTERAIRE XIXe SIECLE,LAGARDE MICHARD,4,3,,,,
