id_avtor;avtor
1;NE VEM
2;ACHEBE CHINUA
3;ADAMLJE BOGATAJ
4;ADAMS DOUGLAS
5;ADLER IRVING
6;ADRIANO CINGOLANI
7;AGNON ŠMUEL JOSEF
8;AJTMATOV ČINGIZ
10;ALLENDE ISABEL
11;AMBROŽ CIRIL
12;AMIN SAMIR
13;AMIRREZVANI ANITA
15;AMMANITI NICCOLO
17;AMZS
19;ANDERSEN HANS CHRISTIAN
20;ANDERSON LENA
21;ANDRIĆ IVO
22;ANTON SLODNJAK
23;APOLLONIO UMBRO
24;ARENDT HANNAH
25;ARH FRANC
26;ARSAN EMMANUELLE
27;AŠIČ SIMON
28;AŠKERC ANTON
30;ATWOOD MARGARET
31;ATXAGA BERNARDO
32;AUBIER CATHERINE
34;AUEL JEAN
35;BADIOU ALAIN
36;BALES, TRODD, KENT WILLIAMSON
37;BALLARIN ALESSANDRO
38;BALLUCH MARTIN
39;BALZAC HONORE
40;BAMBECK WOLTERS
41;BANVILLE JOHN
42;BAR ELVIRE
43;BARICCO ALESSANDRO
44;BARRIE, HESS
45;BARTHES RONALD
46;BAUM FRANK
47;BAUMGART KLAUS
48;BECKER ROLF, ALEXANDRA
49;BECKETT SAMUEL
50;BELLOW SAUL
51;BENKO VLADIMIR
53;BERCE SONJA
54;BERLITZ CHARLES
55;BERNIK IVAN
57;BEVK FRANCE
58;"BEVK FRANCE; MANČEK MARJAN"
59;BIBIČ BRATKO
60;BLACKMORE RICHARD
61;BLEJEC MARIJAN
62;BLIXEN KAREN
63;BLOCH ARTHUR
64;BODANIS DAVID
66;BOLL HEINRICH
67;BONAR ANN
68;BOR MATEJ
69;BOROVNIK SILVIJA
70;BOULTON MARJORIE
71;BOŽIČ, WEBER
72;BRADLEY COURTIER
73;BRAND RUSSELL
74;BRAUER SIGRID
75;BREE ALMUT
76;BREZNIK MAJA
78;BRONTE CHARLOTTE
79;BUČAR FRANCE
80;BUČEVIĆ KUNC
81;BUCK PEARL S.
82;BUKOWSKI CHARLES
85;BUNC STAKO
86;BUNIN IVAN ALEKSEJEVIČ
87;BURGER GOTTFRIED AUGUST
88;BURROUGHS EDGAR RICE
89;BUSCHER GUSTAV
90;BUSIGNANI ALBERTO
91;"BUTLER; MACNAUGHTON"
92;CAMPAGNE CLAUDE
93;CAMUS ALBERT
99;CANKAR IVAN
100;CAPUDER ANDREJ
101;CARPER JEAN
103;CARRE JOHN
104;CARTER ANGELA
105;CASSOU JEAN
106;CAT NANCY
107;ČECH PAVEL
108;CELA JAUME
109;ČELIK PAVLE
110;CENDRARS BLAISE
111;CERAM
115;CERVANTES SAAVEDRA MIGUEL
116;CESAIRE AIME
117;CHARRIERE HENRI
118;CHE GUEVARA ERNESTO
119;CHEVALIER TRACY
120;CHION MICHEL
121;CHOMSKY NOAM
122;CHRISTIE AGATHA
123;CHURCHILL WINSTON SPENCER
125;ČIBEJ JOŽE ANDREJ
127;ČKZ
128;CLARKE ARTHUR
129;CLEZIO JEAN
130;COBEN HARLAN
132;COLEMAN LONNIE
133;COLETTE SIDONIE GABRIELLE
134;COLNARIČ VRABL
135;COLOROSO BARBARA
136;CONRAD JOSEPH
137;ČOPIČ BRANKO
138;CORMAN EVERY
139;CORTATAR JULIO
140;COSCARELLI KATE
141;COWIE
143;CRONIN
144;CROUCH COLIN
145;DALI SALVADOR
146;DALMATIN JURIJ
147;DANELLA UTTA
148;DANTE ALIGHIERI
149;DARKO AMMA
151;DEBELAK MATEJA
152;DEBENJAK DORIS
154;DEFOE DANIEL
155;DEIGHTON LEN
156;DELEDDA GRAZIA
157;DEPETRILLO BART
158;DESTOVNIK KAJUH KAREL
159;DIABY MOHAMED
160;DICAMILLO KATE
162;DICKENS CHARLES
165;DISNEY WALT
166;DOLAR MLADEN
167;DOLINAR BRANE
168;DOMINIC MARC
169;DORING ILSE
170;DORNEMANN LUISE
171;DOSTOJEVSKI FJODOR
172;DOWNES ROCK
173;DRAGO BAJT
174;DRAGOŠ SREČO LESKOŠEK VESNA
175;DRENOVEC FRANČEK
176;DUBOIS
177;DURRENMAT FRIEDERICH
180;DUŠAN LIPOVEC
181;EARLE JO
182;ECO UMBERTO
183;ELIOT THOMAS STEARNS
184;ELLERT GERHARD
185;ENGLES PLEHANOV
186;ERDRICH LOUISE
